Plate,City,District,AdName,Prices Value,Currency,region,Lat,Lon
1,Adana,Sarıçam,RENAULT CLİO HB 1.5 DCİ DYNAMİQUE FULL PAKET,188.000,TL,Akdeniz,37.0,35.3213333
1,Adana,Seyhan,otomatik joy tesla ekran geri görüş ekstralı,573.000,TL,Akdeniz,37.0,35.3213333
1,Adana,Yüreğir,KLİMALI TERTEMİZ CLİO,154.500,TL,Akdeniz,37.0,35.3213333
6,Ankara,Altındağ,TEMİZ KULLANILMIŞ AİLE ARABASI,255.000,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Etimesgut,Temiz Clio,178.000,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Keçiören,Kazasız orijinal Değişen Boya yok,445.000,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Keçiören,2013 MODEL İCON PAKET DEĞİŞENSİZ BAKIMLI MASRAFSIZ,314.000,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Keçiören,DEĞİŞENSİZ - BOYASIZ - HASAR KAYITSIZ,318.500,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Mamak,Clio 1.4 RTA i Klima+222 bin km,172.000,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Mamak,Temiz Clio Sporttourer,335.000,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Sincan,## 2001 Klimalı Düşük Km ##,182.500,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Sincan,EMSALSİZ TEMİZLİKTE RENAULT CLİO,158.750,TL,Ic Anadolu,39.92077,32.85411
6,Ankara,Çankaya,"ACİLİLK SAHİBİNDEN KAZASIZ, BOYASIZ, ICON, BORDO, DİZEL OTOMATİK",570.000,TL,Ic Anadolu,39.92077,32.85411
7,Antalya,Alanya,BOYASIZ HATASIZ 2019 MODEL 2020 TRAFİK ÇIKIŞLI 1.5DCİ EDC,489.500,TL,Akdeniz,36.88414,30.70563
7,Antalya,Alanya,bu fırsat kaçmaz,364.999,TL,Akdeniz,36.88414,30.70563
7,Antalya,Alanya,2013 MODEL RENAULT CİLO 1.5 DCİ A-Z'YE BAKIMLI KUSURSUZ,320.750,TL,Akdeniz,36.88414,30.70563
7,Antalya,Alanya,2005 1.2 safkan benzinli,175.000,TL,Akdeniz,36.88414,30.70563
7,Antalya,Gazipaşa,sahibinden temiz,210.000,TL,Akdeniz,36.88414,30.70563
7,Antalya,Konyaaltı,2014 CLİO 1.5 DCI SAHİBİNDEN,299.500,TL,Akdeniz,36.88414,30.70563
7,Antalya,Manavgat,clio hatasiz.,225.000,TL,Akdeniz,36.88414,30.70563
9,Aydın,Söke,EKSTRALI TEMİZ YAKIT CİMRİSİ,347.500,TL,Ege,37.8444,27.8458
10,Balıkesir,Gönen,SAHİBİNDEN RENAULT CLİO,368.500,TL,Marmara,39.648369,27.88261
13,Bitlis,Tatvan,icon görünümlü,345.000,TL,Dogu Anadolu,38.4,42.1166667
14,Bolu,Merkez,Hatasiz ve Boyasiz,263.000,TL,Kara Deniz,40.739479,31.611561
16,Bursa,Nilüfer,ORJİNAL 69 BİNDE TEMİZ.,252.000,TL,Marmara,40.18257,29.06687
16,Bursa,Osmangazi,Temiz tek değişenli parça boyalı,184.000,TL,Marmara,40.18257,29.06687
20,Denizli,Merkezefendi,229.527 Km'de_2003 MODEL_RENAULT CLİO_1.5 Dci_KLİMA_SEDAN,173.900,TL,Ege,37.77652,29.08639
21,Diyarbakır,Bağlar,2004 CLIO 1.5 DİZEL HATASIZ MASRAFSIZ TEMİZ 3 PARÇA BOYA,144.500,TL,Guney Dogu,37.91441,40.230629
21,Diyarbakır,Ergani,2006 MODEL ALİZE MOTOR CLİO 1.5 ARAC TEMİZDİR,210.000,TL,Guney Dogu,37.91441,40.230629
22,Edirne,Uzunköprü,HD GARAGE'DEN HATASIZ RENAULT CLİO HB 150K,299.750,TL,Marmara,41.6666667,26.5666667
