,Unnamed: 0,Plate,City,District,Ad Name,Prices Value,Currency,region,Lat,Lon
0,111,1,Adana,Ceyhan,DEĞİŞENSİZ 2011 1.5 DCİ DYNAMiQUE PAKET,249.0,TL,Akdeniz,37.0,35.3213333
1,186,1,Adana,Ceyhan,TEMİZ MEMUR ARACI,428.0,TL,Akdeniz,37.0,35.3213333
2,743,1,Adana,Ceyhan,Renault FLUENCE sahibinden..,350.0,TL,Akdeniz,37.0,35.3213333
3,791,1,Adana,Ceyhan,Öğretmenden Boyasız Değişensiz Acil !!,425.0,TL,Akdeniz,37.0,35.3213333
4,134,1,Adana,Kozan,2012 PRİVİLEGE PAKET OLUP MODELİNİN EN FULLU,410.0,TL,Akdeniz,37.0,35.3213333
5,642,1,Adana,Kozan,BOYASIZ HATASIZ OTOMATİK VİTES,497.5,TL,Akdeniz,37.0,35.3213333
6,256,1,Adana,Sarıçam,aile arabasıdır,315.0,TL,Akdeniz,37.0,35.3213333
7,168,1,Adana,Seyhan,ERTAŞ OTOMOTİV 2016 FLUENCE 1.5 TOUCH DİZEL OTOMATİK-BAKIMLI,417.5,TL,Akdeniz,37.0,35.3213333
8,227,1,Adana,Seyhan,Düşük KM. İhtiyaç FAZLASI Çok Temiz,445.0,TL,Akdeniz,37.0,35.3213333
9,264,1,Adana,Seyhan,2013-RENAULT-F­LUENCE-JOY-1.5 DCİ-110 HP-OTOMATİK-,327.0,TL,Akdeniz,37.0,35.3213333
10,302,1,Adana,Seyhan,DİNÇ AUTO'dan 2010 RENAULT FLUENCE 1.5 DCI Expression,254.95,TL,Akdeniz,37.0,35.3213333
11,350,1,Adana,Seyhan,Sahibinden Satılık Gönül Rahatlığıyla Alabileceğiniz Bir Araç,305.0,TL,Akdeniz,37.0,35.3213333
12,402,1,Adana,Seyhan,OTOMATİK TÜM BAKIMLARI YENİ MASRAFSIZ,298.0,TL,Akdeniz,37.0,35.3213333
13,492,1,Adana,Seyhan,ÇOK TEMİZ ARACIM,377.5,TL,Akdeniz,37.0,35.3213333
14,511,1,Adana,Seyhan,DESTAN DAN 1.5 Dizel EXTREM,209.0,TL,Akdeniz,37.0,35.3213333
15,572,1,Adana,Seyhan,2013 MODEL TOCH PLUS ORJİNAL KİLOMETRE ANAHTARSIZ ÇALIŞTIRMA,278.5,TL,Akdeniz,37.0,35.3213333
16,644,1,Adana,Seyhan,2012 MODEL EN DOLUSU SANRUFLU OTOMATİK HATASIZ PRİVİLİGE FLUENCE,354.75,TL,Akdeniz,37.0,35.3213333
